url;title;snippet
../fake-data/blob/url/url-1.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-2.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-3.txt;Περιφέρεια;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-4.txt;ΝΠΔΔ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-5.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-6.txt;ΝΠΙΔ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-7.txt;ΜΚΟ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-8.txt;ΜΚΟ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-9.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-10.txt;Διακυβερνητικός οργανισμός;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-11.txt;Υπουργείo;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-12.txt;Υπουργείo;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-13.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-14.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-15.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-16.txt;Διακυβερνητικός Οργανισμός;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-17.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-18.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-19.txt;Δημόσια Υπηρεσία;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-20.txt;ΝΠΙΔ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-21.txt;ΜΚΟ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-22.txt;ΜΚΟ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-23.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-24.txt;Διακυβερνητικός οργανισμός;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-25.txt;Υπουργείο;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-26.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-27.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
../fake-data/blob/url/url-28.txt;Υπηρεσία του ΟΗΕ;../fake-data/blob/hipster.txt
